47.82.145.129:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
47.82.146.12:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
47.82.144.6:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
192.238.143.177:1080 | HTTP | HK | Elite | Antbox Networks Limited
47.82.144.176:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
103.147.247.193:8080 | HTTP | ID | Transparent | PLBNET
131.153.163.178:9050 | HTTP | US | Elite | Secured Servers LLC
47.82.180.45:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
103.97.140.110:8080 | HTTP | ID | Transparent | PT Jembatan Data Pangrang..
47.82.145.94:3128 | HTTP | UN | Elite | Lookup Error
103.158.62.136:8080 | HTTP | BD | Transparent | SEARCH IT
47.82.165.213:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
47.82.154.64:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
165.225.196.14:80 | HTTP | GB | Transparent | Zscaler Switzerland GmbH
131.222.251.84:8080 | HTTP | TR | Transparent | High Speed For Internet S..
47.79.249.51:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
174.138.165.74:8080 | HTTP | US | Elite | Secured Servers LLC
103.169.254.9:8080 | HTTP | ID | Transparent | PT Master Star Network
3.110.181.109:3128 | HTTP | IN | Transparent | Amazon Technologies Inc.
149.86.144.211:8080 | HTTP | TR | Transparent | Gibirnet Iletisim Hizmetl..
160.19.41.60:80 | HTTP | IN | Transparent | ATC INFOCOM SOLUTIONS PVT..
103.176.96.136:8080 | HTTP | ID | Transparent | PT Global Sarana Elektron..
18.209.165.211:1080 | HTTP | US | Elite | Amazon.com, Inc.
47.82.145.98:3128 | HTTP | UN | Elite | Lookup Error
89.111.181.247:1080 | HTTP | RU | Elite | JSC "RU-CENTER"
174.138.162.35:8080 | HTTP | US | Elite | Secured Servers LLC
47.82.149.241:3128 | HTTP | UN | Elite | Lookup Error
47.82.178.132:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
185.200.38.231:8080 | HTTP | TR | Transparent | High Speed Telekomunikasy..
193.29.224.20:3128 | HTTP | UN | Elite | Lookup Error
